Order_ID,Order_Date,Customer_ID,Restaurant_ID,Region,Delivery_Partner_ID,Order_Value,Delivery_Fee,Discount_Applied,Final_Amount,Payment_Mode,Order_Status,Delivery_Time_Minutes,Order_Rating,Festival_Flag
O100770,10-07-2023,C00581,R396,Metropolitan,D0019,488,40,0,528,Card,Cancelled,33,4,1
O100786,21-08-2023,C06494,R358,Semi-Urban,D1010,414,30,150,294,UPI,Delivered,34,3,1
O100790,21-11-2023,C05156,R151,Semi-Urban,D0937,837,40,0,877,UPI,Delivered,36,4,1
O100798,01-08-2025,C14482,R137,Metropolitan,D0030,618,35,20,633,Wallet,Delivered,42,5,1
O100806,12-08-2023,C08802,R506,Urban,D0632,620,30,0,650,Cash,Delivered,26,3,1
O100816,13-04-2023,C08575,R089,Metropolitan,D0663,571,40,0,611,Cash,Delivered,43,4,0
O100817,27-10-2024,C03632,R515,Semi-Urban,D0664,637,50,0,687,Card,Delivered,35,3,1
O100828,02-05-2025,C04476,R239,Semi-Urban,D0227,544,35,0,579,Cash,Delivered,29,5,0
O100835,01-08-2025,C00999,R068,Semi-Urban,D0442,757,40,30,767,Wallet,Delivered,36,5,1
O100838,06-10-2023,C15747,R467,Semi-Urban,D0634,317,30,0,347,Cash,Delivered,40,4,1
O100841,29-11-2023,C04770,R373,Metropolitan,D0355,513,50,20,543,UPI,Delivered,29,5,1
O100845,20-10-2024,C21246,R171,Metropolitan,D0286,865,40,0,905,Wallet,Delivered,42,4,1
O100857,15-07-2024,C02053,R117,Semi-Urban,D1010,476,35,0,511,UPI,Delivered,41,4,1
O100862,23-05-2024,C05331,R239,Semi-Urban,D0776,463,30,0,493,Cash,Delivered,25,3,0
O100874,22-04-2025,C01422,R541,Urban,D0214,609,35,100,544,UPI,Delivered,41,3,0
O100881,19-09-2024,C12673,R034,Metropolitan,D0610,423,35,0,458,Card,Delivered,31,5,0
O100887,16-12-2024,C15425,R243,Metropolitan,D0596,224,35,0,259,UPI,Delivered,42,4,1
O100902,25-12-2023,C20779,R038,Metropolitan,D0829,820,35,0,855,Wallet,Delivered,36,2,1
O100905,17-08-2023,C06364,R407,Semi-Urban,D0501,627,30,0,657,UPI,Delivered,38,3,1
O100915,20-11-2024,C06876,R355,Urban,D0622,623,50,0,673,UPI,Delivered,31,5,1
O100921,04-10-2025,C10422,R250,Metropolitan,D0693,415,50,0,465,UPI,Delivered,37,4,1
O100929,23-01-2023,C21403,R472,Urban,D0911,378,35,0,413,Card,Delivered,33,3,0
O100932,16-12-2025,C07175,R094,Urban,D0930,450,30,0,480,UPI,Delivered,36,5,1
O100936,15-12-2024,C15138,R395,Urban,D0531,644,40,0,684,Card,Delivered,45,4,1
O100942,08-11-2025,C06401,R305,Semi-Urban,D0716,385,30,0,415,UPI,Delivered,40,5,1
O100949,25-11-2024,C06148,R358,Semi-Urban,D0376,675,50,20,705,Card,Delivered,36,5,1
O100952,16-10-2023,C06351,R360,Urban,D0687,794,35,75,754,Card,Delivered,36,3,1
O100961,13-01-2025,C13390,R235,Urban,D0439,643,35,0,678,UPI,Delivered,38,5,0
O100969,25-02-2023,C21389,R204,Metropolitan,D0553,495,35,0,530,Card,Delivered,37,4,0
O100979,23-02-2025,C02259,R236,Semi-Urban,D0763,327,40,0,367,Wallet,Delivered,36,5,0
O100981,14-03-2023,C11686,R481,Urban,D0509,724,35,30,729,UPI,Delivered,34,5,1
O100987,22-04-2024,C10577,R270,Urban,D0599,568,30,0,598,Card,Delivered,30,5,0
O100988,31-05-2024,C00097,R136,Semi-Urban,D0955,586,35,20,601,Card,Delivered,35,4,0
O100992,19-05-2024,C00529,R093,Semi-Urban,D0656,660,30,0,690,Card,Delivered,37,4,0
O101005,20-11-2023,C02664,R445,Urban,D0950,642,40,150,532,UPI,Delivered,35,4,1
O101018,16-05-2024,C06274,R468,Semi-Urban,D0831,303,30,0,333,Card,Delivered,34,3,0
O101034,20-05-2025,C13481,R405,Urban,D1004,378,30,0,408,UPI,Delivered,31,4,0
O101050,16-02-2024,C07852,R350,Urban,D0013,479,30,0,509,Cash,Delivered,27,3,0
O101057,14-03-2023,C01141,R392,Semi-Urban,D0032,531,40,150,421,Card,Delivered,30,5,1
O101065,02-10-2023,C06320,R490,Metropolitan,D0828,768,35,0,803,UPI,Delivered,40,5,1
O101070,24-12-2025,C00665,R485,Semi-Urban,D0203,800,30,0,830,Wallet,Delivered,35,5,1
O101075,23-04-2024,C10118,R549,Metropolitan,D0896,524,50,0,574,Cash,Delivered,29,5,0
O101086,16-01-2024,C12962,R032,Urban,D0216,423,40,0,463,UPI,Delivered,37,5,0
O101087,06-03-2024,C10931,R213,Metropolitan,D0408,764,40,0,804,UPI,Delivered,32,4,1
O101095,04-01-2023,C09847,R503,Metropolitan,D0455,567,30,0,597,Card,Delivered,35,5,0
O101121,06-07-2024,C10587,R382,Metropolitan,D0804,507,35,0,542,Cash,Delivered,37,5,1
O101127,19-11-2023,C01130,R125,Urban,D0493,1025,40,100,965,Cash,Delivered,38,4,1
O101128,01-11-2025,C13576,R101,Metropolitan,D0498,903,30,0,933,Card,Delivered,42,4,1
O101130,24-09-2023,C01305,R341,Urban,D0216,684,50,0,734,Wallet,Delivered,30,1,0
O101133,19-12-2025,C16786,R013,Urban,D0927,788,35,0,823,UPI,Delivered,32,4,1
O101167,13-11-2023,C13976,R546,Urban,D0645,753,30,0,783,Card,Delivered,29,4,1
O101175,28-09-2023,C05202,R276,Urban,D0772,581,30,0,611,UPI,Delivered,43,5,0
O101189,16-07-2025,C08980,R111,Urban,D0011,731,30,150,611,Wallet,Delivered,27,4,1
O101197,06-10-2025,C00525,R031,Semi-Urban,D0276,671,30,20,681,Cash,Delivered,44,5,1
O101199,17-08-2025,C14876,R527,Urban,D0060,374,30,0,404,Wallet,Delivered,37,4,1
O101211,20-05-2024,C01796,R261,Metropolitan,D0762,712,30,0,742,UPI,Delivered,37,5,0
O101222,21-10-2024,C17078,R455,Urban,D0635,812,35,0,847,UPI,Delivered,35,5,1
O101228,21-03-2024,C06187,R239,Semi-Urban,D0376,974,35,150,859,Wallet,Delivered,29,3,1
O101261,15-05-2024,C16858,R406,Metropolitan,D0080,328,35,50,313,UPI,Delivered,40,5,0
O101275,21-02-2025,C07754,R508,Urban,D0964,802,30,0,832,UPI,Delivered,25,4,0
O101288,11-08-2023,C16170,R066,Metropolitan,D0978,463,35,0,498,UPI,Delivered,29,3,1
O101310,07-06-2023,C16469,R471,Metropolitan,D0660,200,30,20,210,UPI,Delivered,40,4,0
O101319,21-10-2023,C05458,R206,Semi-Urban,D0573,740,50,0,790,Card,Delivered,38,2,1
O101323,21-11-2025,C17060,R265,Urban,D0750,639,30,50,619,UPI,Delivered,41,4,1
O101329,05-10-2023,C18989,R215,Metropolitan,D0747,742,35,0,777,UPI,Delivered,36,4,1
O101335,01-03-2023,C05076,R131,Semi-Urban,D0925,536,35,0,571,Cash,Delivered,33,5,1
O101351,09-09-2024,C04014,R068,Semi-Urban,D1010,394,35,0,429,UPI,Delivered,33,4,0
O101354,29-11-2024,C17123,R528,Metropolitan,D0054,495,40,30,505,UPI,Delivered,33,4,1
O101378,10-11-2023,C03917,R061,Semi-Urban,D0831,909,35,0,944,UPI,Delivered,36,3,1
O101383,15-03-2024,C17836,R487,Metropolitan,D0940,578,30,0,608,UPI,Delivered,31,4,1
O101385,17-09-2025,C15321,R217,Metropolitan,D0965,412,40,0,452,Cash,Delivered,39,1,0
O101397,14-07-2025,C14000,R213,Metropolitan,D0255,607,30,0,637,UPI,Delivered,31,5,1
O101399,27-02-2025,C08438,R152,Urban,D0883,211,40,0,251,Wallet,Delivered,40,3,0
O101404,06-11-2023,C02225,R467,Semi-Urban,D0444,497,35,0,532,Wallet,Delivered,29,4,1
O101412,19-03-2023,C04701,R076,Semi-Urban,D0676,497,35,20,512,UPI,Delivered,38,3,1
O101424,16-11-2025,C19874,R088,Metropolitan,D0367,612,50,0,662,Wallet,Delivered,33,5,1
O101425,31-03-2023,C00425,R538,Metropolitan,D0260,612,30,0,642,UPI,Delivered,40,4,1
O101427,06-04-2023,C03485,R392,Semi-Urban,D0203,600,30,30,600,Wallet,Delivered,30,4,0
O101428,14-05-2024,C05080,R494,Semi-Urban,D0442,418,30,20,428,UPI,Delivered,31,4,0
O101431,07-11-2023,C00999,R502,Semi-Urban,D0605,685,40,0,725,Card,Delivered,30,3,1
O101436,02-08-2024,C04270,R068,Semi-Urban,D0463,587,55,0,642,Card,Delivered,47,5,1
O101447,21-10-2024,C12930,R283,Metropolitan,D0296,413,50,0,463,UPI,Delivered,33,5,1
O101454,20-08-2025,C07266,R452,Urban,D0085,283,35,0,318,UPI,Delivered,40,4,1
O101467,04-09-2025,C06299,R257,Semi-Urban,D0988,284,35,30,289,UPI,Delivered,38,5,0
O101475,02-01-2024,C12038,R250,Metropolitan,D1025,471,30,30,471,Card,Delivered,33,4,0
O101508,26-10-2025,C04524,R079,Urban,D0809,784,45,100,729,UPI,Delivered,46,4,1
O101523,16-02-2025,C20397,R489,Metropolitan,D0874,208,30,0,238,UPI,Delivered,26,4,0
O101528,30-05-2025,C15811,R308,Metropolitan,D0946,648,50,50,648,Card,Delivered,36,3,0
O101531,10-03-2024,C05260,R362,Metropolitan,D0804,566,40,0,606,UPI,Delivered,30,4,1
O101535,02-04-2024,C18589,R408,Metropolitan,D0566,611,30,20,621,UPI,Delivered,38,4,0
O101555,12-11-2024,C11673,R361,Metropolitan,D0288,562,30,0,592,UPI,Delivered,41,5,1
O101583,22-07-2023,C20417,R078,Metropolitan,D0956,658,50,0,708,Wallet,Delivered,35,5,1
O101590,31-12-2024,C04652,R257,Semi-Urban,D0110,976,40,30,986,Cash,Delivered,39,4,1
O101594,23-04-2024,C15458,R250,Metropolitan,D0079,426,40,0,466,UPI,Cancelled,37,4,0
O101605,08-01-2023,C03820,R061,Semi-Urban,D0988,760,35,0,795,UPI,Delivered,33,4,0
O101612,21-05-2024,C20090,R412,Metropolitan,D0507,421,50,0,471,UPI,Delivered,32,3,0
O101614,19-02-2025,C02772,R181,Semi-Urban,D0634,501,40,0,541,UPI,Delivered,38,3,0
O101625,01-09-2025,C00438,R164,Semi-Urban,D0820,583,35,75,543,Wallet,Delivered,40,5,0
O101629,01-08-2023,C04161,R002,Semi-Urban,D0624,583,40,0,623,Card,Delivered,38,5,1
O101638,03-03-2024,C15651,R060,Metropolitan,D0648,416,35,0,451,Card,Delivered,42,5,1
O101647,08-12-2025,C04727,R128,Urban,D0018,200,35,0,235,Card,Delivered,30,4,1
O101650,02-11-2024,C00856,R533,Semi-Urban,D0424,598,45,0,643,UPI,Delivered,46,4,1
O101668,10-09-2025,C04038,R407,Semi-Urban,D0110,533,40,0,573,UPI,Delivered,33,4,0
O101676,21-06-2025,C11259,R370,Metropolitan,D0639,523,35,150,408,UPI,Delivered,38,5,0
O101699,29-01-2024,C04377,R080,Urban,D0878,369,35,150,254,Card,Delivered,34,5,0
O101700,04-08-2024,C05284,R005,Urban,D0272,399,35,20,414,Card,Delivered,37,4,1
O101702,26-01-2024,C01837,R426,Semi-Urban,D0186,687,30,0,717,UPI,Delivered,34,5,0
O101719,12-09-2024,C03647,R076,Semi-Urban,D0854,734,30,0,764,Wallet,Delivered,25,4,0
O101740,11-12-2023,C05739,R392,Semi-Urban,D0444,265,30,0,295,UPI,Delivered,32,4,1
O101764,30-10-2024,C19507,R261,Metropolitan,D0247,956,30,0,986,UPI,Delivered,36,3,1
O101770,03-07-2024,C05535,R548,Urban,D0126,468,50,0,518,UPI,Delivered,33,5,1
O101789,11-08-2023,C00669,R257,Semi-Urban,D0276,221,40,50,211,UPI,Delivered,27,5,1
O101796,07-05-2025,C03109,R434,Urban,D0612,486,50,50,486,Card,Delivered,40,5,0
O101802,24-02-2025,C05559,R093,Semi-Urban,D0138,481,30,0,511,UPI,Delivered,32,5,0
O101828,13-10-2025,C11748,R550,Urban,D0864,543,35,50,528,UPI,Delivered,39,3,1
O101832,04-01-2023,C21217,R382,Metropolitan,D0969,535,40,0,575,Wallet,Delivered,27,4,0
O101839,11-02-2023,C02651,R515,Semi-Urban,D0203,600,30,100,530,UPI,Delivered,39,4,0
O101841,25-12-2023,C10631,R247,Metropolitan,D0340,738,35,20,753,UPI,Delivered,41,5,1
O101843,12-03-2024,C21559,R255,Metropolitan,D0657,678,40,0,718,Wallet,Delivered,28,5,1
O101863,05-06-2024,C12244,R412,Metropolitan,D0007,320,35,0,355,UPI,Delivered,40,5,0
O101876,19-10-2025,C12813,R042,Metropolitan,D0987,552,30,0,582,Card,Delivered,33,2,1
O101889,24-06-2024,C12508,R174,Urban,D0298,563,30,0,593,UPI,Delivered,42,3,0
O101910,27-01-2025,C12351,R258,Metropolitan,D0946,608,50,30,628,Cash,Delivered,37,4,0
O101923,18-02-2024,C10703,R218,Metropolitan,D0896,290,35,0,325,Card,Delivered,25,4,0
O101937,02-05-2025,C01764,R398,Semi-Urban,D0110,584,30,0,614,Wallet,Delivered,36,4,0
O101938,24-01-2023,C01397,R535,Urban,D0307,665,30,0,695,UPI,Delivered,29,4,0
O101946,28-12-2024,C06376,R371,Urban,D0635,519,30,100,449,UPI,Delivered,37,4,1
O101947,23-09-2023,C04232,R468,Semi-Urban,D0444,618,30,0,648,UPI,Delivered,25,5,0
O101958,05-02-2023,C12533,R332,Urban,D0383,696,35,0,731,UPI,Delivered,30,4,0
O101965,11-01-2023,C16053,R415,Urban,D0157,290,30,30,290,Card,Delivered,33,4,0
O101972,13-02-2023,C07570,R297,Urban,D0722,964,35,30,969,UPI,Delivered,32,4,0
O101981,03-12-2025,C07609,R026,Urban,D0456,380,30,0,410,Card,Delivered,39,5,1
O101983,06-02-2024,C06507,R392,Semi-Urban,D0442,805,40,150,695,Wallet,Delivered,39,5,0
O102046,26-12-2025,C05989,R316,Semi-Urban,D1087,759,30,0,789,Card,Delivered,33,5,1
O102054,26-08-2025,C03462,R430,Urban,D0149,690,35,0,725,Wallet,Delivered,39,3,1
O102055,01-02-2025,C18091,R187,Urban,D0332,747,35,0,782,Cash,Delivered,34,1,0
O102059,28-02-2025,C13554,R488,Metropolitan,D0174,349,40,0,389,Wallet,Delivered,35,3,0
O102064,26-10-2025,C05041,R407,Semi-Urban,D0412,523,40,100,463,UPI,Delivered,39,5,1
O102077,13-10-2024,C02724,R496,Semi-Urban,D1010,731,35,0,766,UPI,Delivered,33,2,1
O102080,17-11-2025,C02135,R498,Urban,D0270,708,40,0,748,UPI,Delivered,32,4,1
O102081,29-10-2024,C06103,R180,Urban,D0508,430,50,0,480,UPI,Delivered,43,4,1
O102099,02-05-2025,C03832,R301,Urban,D0036,528,35,0,563,UPI,Delivered,36,4,0
O102106,12-10-2023,C06232,R496,Semi-Urban,D0760,446,40,0,486,UPI,Delivered,40,4,1
O102116,20-11-2025,C19899,R369,Metropolitan,D0217,438,40,50,428,Wallet,Delivered,36,4,1
O102126,18-09-2025,C03344,R177,Metropolitan,D0888,663,30,0,693,Wallet,Delivered,34,2,0
O102133,15-07-2025,C21260,R121,Metropolitan,D0621,462,35,20,477,Cash,Delivered,41,4,1
O102136,05-07-2023,C04030,R146,Urban,D0202,775,50,0,825,Wallet,Delivered,39,4,1
O102142,06-10-2024,C07251,R009,Metropolitan,D0536,748,35,0,783,UPI,Delivered,40,3,1
O102143,22-02-2024,C08163,R431,Urban,D0155,444,40,30,454,UPI,Cancelled,36,5,0
O102159,07-01-2023,C13535,R306,Metropolitan,D0963,717,30,0,747,Wallet,Delivered,37,5,0
O102161,19-09-2025,C07329,R386,Metropolitan,D0121,495,35,75,455,Card,Delivered,38,2,0
O102166,26-09-2023,C05331,R107,Semi-Urban,D0880,570,30,0,600,Card,Delivered,29,4,0
O102167,14-09-2024,C01194,R304,Urban,D0879,248,40,150,138,Wallet,Delivered,35,5,0
O102170,29-07-2025,C02639,R245,Urban,D0872,670,50,50,670,UPI,Delivered,34,4,1
O102184,14-12-2025,C00665,R494,Semi-Urban,D0988,502,35,0,537,UPI,Delivered,33,4,1
O102190,07-12-2025,C05739,R398,Semi-Urban,D0268,615,50,100,565,UPI,Delivered,27,5,1
O102226,24-05-2025,C01435,R117,Semi-Urban,D0763,250,30,0,280,UPI,Delivered,32,4,0
O102227,02-03-2025,C05436,R316,Semi-Urban,D0268,758,30,75,713,UPI,Delivered,35,4,1
O102230,11-05-2023,C04476,R239,Semi-Urban,D0424,855,40,0,895,Wallet,Delivered,40,4,0
O102259,06-06-2025,C04701,R181,Semi-Urban,D0039,593,30,0,623,UPI,Delivered,30,2,0
O102262,15-12-2024,C01679,R392,Semi-Urban,D0760,554,30,0,584,Card,Delivered,29,3,1
O102270,27-08-2024,C03849,R366,Metropolitan,D0670,368,50,0,418,Wallet,Delivered,32,4,1
O102286,15-04-2024,C19290,R082,Metropolitan,D0140,427,50,0,477,Card,Delivered,34,4,0
O102294,01-07-2023,C00896,R031,Semi-Urban,D0698,659,50,0,709,Card,Delivered,32,5,1
O102298,16-07-2024,C04660,R515,Semi-Urban,D0442,582,30,0,612,Wallet,Delivered,34,5,1
O102312,16-03-2024,C17337,R033,Urban,D0063,383,30,75,338,Card,Delivered,41,3,1
O102316,19-11-2025,C19034,R323,Metropolitan,D0113,616,50,0,666,UPI,Delivered,37,5,1
O102327,07-05-2023,C04833,R239,Semi-Urban,D0203,438,30,0,468,Card,Delivered,37,5,0
O102328,11-05-2025,C00043,R505,Urban,D0124,518,30,0,548,Card,Delivered,38,5,0
O102330,29-07-2023,C20372,R258,Metropolitan,D0705,727,30,30,727,UPI,Delivered,30,4,1
O102333,05-06-2024,C08710,R514,Metropolitan,D0401,660,30,0,690,UPI,Cancelled,36,4,0
O102355,06-02-2023,C08818,R024,Metropolitan,D1067,599,35,50,584,Card,Delivered,43,2,0
O102357,20-12-2023,C10978,R472,Urban,D0267,543,40,20,563,Card,Delivered,38,5,1
O102367,20-03-2024,C01501,R022,Urban,D0109,790,40,0,830,Card,Delivered,34,5,1
O102376,24-04-2024,C03349,R502,Semi-Urban,D0186,316,35,0,351,UPI,Delivered,27,2,0
O102380,27-09-2025,C04155,R387,Urban,D0778,476,30,0,506,UPI,Delivered,32,4,0
O102411,12-10-2025,C03820,R136,Semi-Urban,D0656,200,30,0,230,UPI,Delivered,34,3,1
O102416,17-09-2023,C21384,R504,Metropolitan,D0894,541,40,0,581,Card,Delivered,37,2,0
O102417,19-04-2024,C00097,R496,Semi-Urban,D0880,389,40,0,429,Card,Delivered,44,5,0
O102420,15-04-2023,C09287,R011,Metropolitan,D0550,308,35,0,343,Wallet,Delivered,31,4,0
O102449,01-11-2023,C04406,R236,Semi-Urban,D1054,837,30,0,867,Card,Delivered,39,5,1
O102451,02-07-2024,C04749,R468,Semi-Urban,D0698,794,50,0,844,UPI,Delivered,40,4,1
O102456,20-02-2024,C05041,R151,Semi-Urban,D0820,219,40,0,259,Cash,Cancelled,39,4,0
O102468,25-05-2023,C19483,R055,Urban,D0483,484,30,0,514,UPI,Delivered,29,3,0
O102484,05-10-2024,C13531,R285,Metropolitan,D0079,763,30,30,763,Cash,Delivered,41,3,1
O102491,03-12-2024,C05191,R239,Semi-Urban,D0573,800,45,50,795,UPI,Delivered,46,3,1
O102504,11-08-2023,C10829,R466,Urban,D0895,794,40,0,834,Card,Delivered,25,5,1
O102507,20-09-2023,C13079,R217,Metropolitan,D0206,399,35,0,434,UPI,Delivered,35,4,0
O102513,21-09-2023,C01869,R144,Urban,D0900,504,35,100,439,UPI,Cancelled,28,4,0
O102526,06-05-2025,C20889,R188,Metropolitan,D0103,200,30,0,230,Card,Delivered,26,5,0
O102534,01-11-2025,C02479,R181,Semi-Urban,D0039,595,35,20,610,UPI,Delivered,34,5,1
O102538,17-10-2024,C08637,R108,Metropolitan,D0640,659,35,30,664,UPI,Delivered,45,2,1
O102543,03-09-2024,C01264,R358,Semi-Urban,D0613,573,30,30,573,UPI,Delivered,44,5,0
O102548,24-07-2025,C08775,R261,Metropolitan,D0114,392,30,150,272,UPI,Delivered,31,5,1
O102553,21-02-2023,C00768,R305,Semi-Urban,D0792,624,30,20,634,UPI,Delivered,41,4,0
O102577,09-08-2024,C19755,R326,Metropolitan,D0945,636,35,0,671,Card,Delivered,36,2,1
O102587,11-02-2023,C15789,R448,Urban,D0994,396,30,30,396,UPI,Delivered,39,5,0
O102589,06-08-2025,C02000,R399,Metropolitan,D0473,330,40,0,370,Card,Delivered,34,3,1
O102593,11-05-2023,C08270,R243,Metropolitan,D0869,395,40,0,435,UPI,Delivered,28,5,0
O102595,06-10-2024,C08689,R361,Metropolitan,D0741,897,35,150,782,Wallet,Delivered,32,4,1
O102597,20-05-2024,C04566,R236,Semi-Urban,D0305,498,40,0,538,UPI,Delivered,39,4,0
